"About Menu","Over ons Menu"
"About","Over ons"
"Add","Toevoegen"
"Custom 1","Aangepast 1"
"Custom 2","Aangepast 2"
"Label","Label"
"Legal Menu","Legal Menu"
"Legal","Legal"
"Link","Link"
"Menu","Menu"
"Services Menu","Services Menu"
"Services","Services"
"Siteation","Siteation"
"Store Menus","Winkelmenu's"
