"About","Over"
"Add","Toevoegen"
"Custom 1","Aangepast 1"
"Custom 2","Aangepast 2"
"Label","Label"
"Legal","Juridisch"
"Link","Link"
"Menu","Menu"
"Services","Diensten"
"Siteation","Siteation"
"Store Menus","Winkelmenu's"
